label,value
Advace Tax Pmt. Pall,0
DHL-01/2017,0
DHL-02/2017,0
DHL-03/2017,0
DHL-04/2017,0
DHL-05/2017,0
DHL-06/2017,0
DHL-07/2017,17572.36
DHL-08/2017,0
DHL-09/2017,0
DHL-11/2017,502.2
DHL-13/2016,27099.79
DHL-19/2016,0
DHL-22/2013,-441
FV-01/2017,0
FV-02/2017,0
FV-03/2017,0
FV-04/2017,0
FV-05/2017,0
FV-06/2017,0
FV-07/2017,0
FV-08/2017,6164888.7
FV-09/2017,0
FV-10/2017,-27013.59
FV-11/2017,440036.28
FV-12/2017,14900.24
FV-13/2017,3294.02
L/C-001IBPF241300001,59888016.43
L/C-001IFPO241310002,59584623.59
L/C-001IFPO241310003,60088161.63
L/C-001IFPO241440001,59965379.49
L/C-001IFPO241450001,33149293.09
L/C-001IFPO241450002,26990344.8
L/C-001IFPO241510001,29817378.94
L/C-001IFPO241580001,30016926.21
L/C-001IFPO241720001,29951705.12
L/C-001IFPO241850001,0
L/C-240940134821400,0
L/C-2415101351658000,2466151.22
LC 001IFPO241270001,0
LC 001IFPO241290001,60148429.59
LC 001IFPO241300002,60148429.59
LC 001IFPO241350001,60148429.58
LC TF242725152401,103422704.1
LC TF242727580401,94932781.01
LC- 001IBPF233380502,49278299.01
LC- 001IBPF233380503,28541118.77
LC- 001IBPF233600003,6447365.43
LC- 001IBPF240100004,54065234.25
LC- 001IBPF240100005,89126138.67
LC- 001IBPF240100502,150536986.8
LC- 001INET250990001,20033840.68
LC-001FPO241270001,2950484.64
LC-001IBPE250700001,378716406.3
LC-001IBPE250700501,390060691.7
LC-001IBPE250760003,61427118.62
LC-001IBPE250760005,32735747.55
LC-001IBPE250760503,191477366.5
LC-001IBPE250760504,460776061.6
LC-001IBPE251150001,69297865.25
LC-001IBPE251340001,426059803.2
LC-001IBPF230410001,368599.81
LC-001IBPF230520001,526776.82
LC-001IBPF231290001,18557421.27
LC-001IBPF232150001,1357139.11
LC-001IBPF232150002,18109307.46
LC-001IBPF232200004,57582.42
LC-001IBPF232200006,13863.87
LC-001IBPF232300001,0
LC-001IBPF232760001,0
LC-001IBPF232780001,0
LC-001IBPF232790002,0
LC-001IBPF232820001,0
LC-001IBPF232840001,0
LC-001IBPF232860001,0
LC-001IBPF232980001,16734397.5
LC-001IBPF233030001,729091.33
LC-001IBPF233170001,0
LC-001IBPF233210502,0
LC-001IBPF233260501,0
LC-001IBPF233380002,13439089.19
LC-001IBPF233380501,49278299.01
LC-001IBPF233400001,0
LC-001IBPF233420501,-22753212.83
LC-001IBPF233420502,6343813.4
LC-001IBPF233460002,0
LC-001IBPF23420002,0
LC-001IBPF240120003,11142428.28
LC-001IBPF240120004,26988.45
LC-001IBPF240220001,0
LC-001IBPF240290002,-169950
LC-001IBPF240330001,0
LC-001IBPF240470002,-999034.81
LC-001IBPF240470501,3701.33
LC-001IBPF240530002,-43631770.89
LC-001IBPF240530501,-3816511.2
LC-001IBPF240610001,-7949291.47
LC-001IBPF240610002,-38866680.47
LC-001IBPF240820003,-38756579.26
LC-001IBPF240870003,-66745928.56
LC-001IBPF240880501,27171642.33
LC-001IBPF240880502,-45514608.31
LC-001IBPF240960001,-42391545.59
LC-001IBPF240960002,-37611925.02
LC-001IBPF241140001,2965473.87
LC-001IBPF241140002,60775464.65
LC-001IBPF241200001,11856442.62
LC-001IBPF241200002,0
LC-001IBPF241280001,59874866.46
LC-001IBPF241350001,47938503.44
LC-001IBPF241350002,35954153.83
LC-001IFPO230400001,189882.75
LC-001IFPO231720502,151342.22
LC-001IFPO241250001,150000
LC-001IFPO241340001,60869851.18
LC-001IFPO241420001,0
LC-001IFPO241420002,0
LC-001IFPO242570001,0
LC-001IFPO243260001,37412817.01
LC-001IFPO243270002,67784595.44
LC-001ILPO242150002,4638363.66
LC-001ILPO242150003,37272315.79
LC-001IMCD210420008,9324.93
LC-001IMLC213610002,4292770.34
LC-001LCFC231740001,0
LC-001LPO242600001,3503588.2
LC-123ILIN201750002,1547236.65
LC-123ILIN201860001,1309589.72
LC-123ILIN212780001,2371.64
LC-AB1000IDC0028125,41378787.23
LC-AB1000IDC0028425,98898540.5
LC-AB1000IDC0028525,98898540.5
LC-AB1000IDC0028625,41378787.23
LC-AB1000IDC0089823,1417995.34
LC-AB1000IDC0139724,0
LC-AB1000IDC0141224,70495448.81
LC-AB1000IDC0141324,69155549.63
LC-AB1000ILC0033822,20930902.66
LC-AB1000ILC0055222,4169940.81
LC-AB1000ILC0191221,5388.06
LC-DGBIBDIBC0053/22,264468.66
LC-DGBIBDIMP00027,274257.28
LC-DGBIBDIMP0008,257840.5
LC-DGBIBDIMP0009,-2486.63
LC-DGBIBDIMP0012,3372684.76
LC-DGBIBDIMP0014,42951.67
LC-DGBIBDIMP0015,340872.5
LC-DGBIBDIMP0017,187288.63
LC-DGBIBDIMP0018,186450.9
LC-DGBIBDIMP0026,6825.36
LC-DGBIBDIMP0037/22,3417552.98
LC-DGBIBDIMP0052/22,0
LC-HGT-PI/062/2023,0
LC-OIBGFAIMP0016/18,85
LC-Radio,13345.01
LC-TF211971899801,29023.94
LC-TF2314500120,-1161215.53
LC-TF2405200009,28886004.48
LC-TF2502902950,-30603916.61
LC-TF2502921440,92523883.19
LC-TF2502929808,115103859.1
LC-TF2514407320,73663928.87
LC-TF2514451487,146769912.3
LC-TF2514451870,-285760.11
LC-TF2514478446,40162432.52
LC-TF2515003637,13948138.31
LC-TF2516407981,27395020.43
LC-TF2516422529,32820987.23
LC-TF2516469869,13411024.62
LC-TF2516470091,24351185.37
LC-WUMEKRIADA/0469,15091236.41
PI#22SQZ0101044366-7,0
Plate No.ET-03-A0460,0
Report,4489239942
