label,value
110101,77488.43
110102,0.03
110201,-87992.8
110301,219917920.6
110303,2821594
110304,-822100
110305,73784430.09
110306,85585.63
110314,-13419226.94
110315,18575.17
110318,6569.17
110320,-3797341.62
110321,74.97
110324,46089.7
110325,26651.51
110329,4151.83
110330,296297.17
110331,163234.85
110332,-2611991347
110333,3155737.7
110341,35122.51
110342,-69094.9
110343,60
110344,2265.28
110345,245691.27
110346,-1401415534
110347,-5929434.96
110349,-88141731.35
110350,258771.79
110351,-878715.27
110352,359580437.2
110353,-2546498.56
110354,10177570.57
110355,1000
110357,-2836965.99
110358,1000
110359,20428529.62
110360,-12467193.41
110361,35062598.51
110362,-41858123.72
110400,1197355.26
110401,4905818.38
110402,-1545.44
110403,417677.06
110404,-1444.2
110405,127.31
110406,6252145.06
110407,339827.65
110408,-2217742.28
110409,7651477.92
110410,342538.94
120101,-116678970.5
120102,626317.5
120103,659187.07
120201,13891014.14
120205,26991544.9
120206,1064926.54
120211,-0.59
120212,363000
1203,0.21
120301,511121.4
120301-02,900000
120301-03,352000
120301-04,20662.78
120301-06,22356850.35
120311,662590
120312,2962133.78
120313,301644.52
120315,3780000
120316,249000000
120317,250000000
120318,250000000
120319,250000000
120320,250001400
120321,221001400
120322,30000000
120323,1200000
120324,1000000
120325,250000
120401,-5492.34
120401-03,26666.73
120401-08,-0.25
120401-12,114321.8
120401-13,43.5
120401-15,175
120401-16,3500
120401-18,867.51
120401-20,79998.88
120401-22,62.6
120401-24,-2200
120401-26,170000
120401-27,216666.84
120401-30,0.04
120401-31,-0.2
120401-32,0.2
120401-33,0.11
120401-35,382938.8
120401-36,138043.16
120401-40,370000
120401-46,20451.87
120401-47,3842.43
120401-48,28475.22
120401-52,-106293.05
120401-53,-620
120401-54,21968.3
120401-57,-0.04
120401-58,-99.97
120401-59,1168280
120401-61,-5929.27
120401-62,100000
120401-63,-9.08
120401-67,150000
120401-71,24762.5
120401-72,127519.3
120401-73,20894.48
120401-74,90000
120401-75,175001
120401-76,42500
120401-77,55000
120401-78,85000
120401-79,44444.45
120401-80,20
120401-81,50000
120401-82,100000
120501,-221406003.6
120502,19117649.7
120503,3325874.47
120504,14117799.39
120505,117.39
120601,-2858721895
130101,227814462
140104,13544519.71
140201,-80665309.84
